1642373293 42
1.0 14.0 
0 1 
ACTION_RIGHT ACTION_USE 
ACTION_USE ACTION_LEFT 
ACTION_UP ACTION_RIGHT 
ACTION_UP ACTION_DOWN 
ACTION_USE ACTION_RIGHT 
ACTION_DOWN ACTION_NIL 
ACTION_NIL ACTION_USE 
ACTION_DOWN ACTION_DOWN 
ACTION_USE ACTION_UP 
ACTION_NIL ACTION_DOWN 
ACTION_USE ACTION_DOWN 
ACTION_USE ACTION_NIL 
ACTION_LEFT ACTION_UP 
ACTION_LEFT ACTION_LEFT 
ACTION_NIL ACTION_UP 
ACTION_NIL ACTION_UP 
ACTION_LEFT ACTION_USE 
ACTION_UP ACTION_USE 
ACTION_LEFT ACTION_RIGHT 
ACTION_DOWN ACTION_LEFT 
ACTION_UP ACTION_USE 
ACTION_UP ACTION_DOWN 
ACTION_RIGHT ACTION_UP 
ACTION_USE ACTION_NIL 
ACTION_DOWN ACTION_LEFT 
ACTION_RIGHT ACTION_NIL 
ACTION_NIL ACTION_LEFT 
ACTION_USE ACTION_USE 
ACTION_RIGHT ACTION_NIL 
ACTION_UP ACTION_USE 
ACTION_UP ACTION_RIGHT 
ACTION_LEFT ACTION_USE 
ACTION_LEFT ACTION_UP 
ACTION_DOWN ACTION_LEFT 
ACTION_USE ACTION_NIL 
ACTION_USE ACTION_NIL 
ACTION_UP ACTION_NIL 
ACTION_DOWN ACTION_NIL 
ACTION_NIL ACTION_RIGHT 
ACTION_UP ACTION_NIL 
ACTION_NIL ACTION_RIGHT 
ACTION_UP ACTION_USE 
ACTION_RIGHT ACTION_USE 
