1420427724 22
0.0 1.0 
0 1 
ACTION_UP ACTION_UP 
ACTION_UP ACTION_NIL 
ACTION_LEFT ACTION_UP 
ACTION_NIL ACTION_RIGHT 
ACTION_RIGHT ACTION_RIGHT 
ACTION_DOWN ACTION_UP 
ACTION_UP ACTION_RIGHT 
ACTION_RIGHT ACTION_RIGHT 
ACTION_RIGHT ACTION_RIGHT 
ACTION_LEFT ACTION_NIL 
ACTION_DOWN ACTION_DOWN 
ACTION_UP ACTION_RIGHT 
ACTION_LEFT ACTION_NIL 
ACTION_DOWN ACTION_DOWN 
ACTION_NIL ACTION_DOWN 
ACTION_RIGHT ACTION_NIL 
ACTION_NIL ACTION_DOWN 
ACTION_RIGHT ACTION_NIL 
ACTION_LEFT ACTION_RIGHT 
ACTION_UP ACTION_NIL 
ACTION_LEFT ACTION_DOWN 
ACTION_RIGHT ACTION_RIGHT 
ACTION_DOWN ACTION_UP 
